"country","severe_recognisedl","severe_recognised","severe_recognisedu","probability_hospitall","probability_hospital","probability_hospitalu","proportion_no_hospl","proportion_no_hosp","proportion_no_hospu"
"Kenya",0.192176806721034,0.317093792859367,0.46412824873459,0.192552002933322,0.471207241365817,0.779737651589109,0.717857788330867,0.855024576909737,0.944031727915244
"Tanzania",0.192176806721034,0.317093792859367,0.46412824873459,0.107452672274593,0.320545599149872,0.649254117102976,0.772576754641827,0.900809862369786,0.968773845012197
"Uganda",0.192176806721034,0.317093792859367,0.46412824873459,0.135810263329193,0.354072266747822,0.645048724761123,0.774215882838387,0.890367952993969,0.960574416839233
